time_s,ch1_v,ch2_v,ch3_v,ch4_v
8.3076e-05,0.0,0.0,0.0,0.0
8.3078e-05,0.0,2.3158,0.0,0.0
8.308000000000001e-05,-8892.1,0.0,-859.79,0.0
8.308200000000002e-05,-8892.1,0.0,0.0,0.0
8.308400000000002e-05,-8892.1,0.0,0.0,0.0
8.3086e-05,0.0,0.0,-859.79,-0.27181
8.3088e-05,-8892.1,0.0,-859.79,0.27181
8.309e-05,0.0,0.0,0.0,0.0
8.309200000000001e-05,0.0,2.3158,0.0,0.0
8.309400000000001e-05,0.0,0.0,859.79,0.27181
8.309600000000002e-05,-8892.1,0.0,0.0,-0.27181
8.3098e-05,0.0,0.0,0.0,-0.27181
8.31e-05,-8892.1,0.0,-859.79,0.0
8.3102e-05,0.0,0.0,0.0,0.0
8.310400000000001e-05,0.0,0.0,-859.79,-0.27181
8.310600000000001e-05,-8892.1,0.0,0.0,0.0
8.310800000000002e-05,0.0,-2.3158,0.0,0.0
8.311e-05,0.0,-2.3158,859.79,0.0
8.3112e-05,-8892.1,0.0,0.0,-0.27181
8.3114e-05,0.0,2.3158,-859.79,-0.27181
8.311600000000001e-05,0.0,0.0,-859.79,0.27181
8.311800000000001e-05,0.0,0.0,-859.79,0.0
8.312000000000002e-05,0.0,0.0,-859.79,-0.27181
8.3122e-05,-8892.1,0.0,0.0,0.0
8.3124e-05,0.0,0.0,0.0,0.0
8.3126e-05,0.0,-2.3158,0.0,-0.54362
8.312800000000001e-05,0.0,0.0,0.0,0.0
8.313000000000001e-05,-8892.1,-2.3158,0.0,0.0
8.313200000000002e-05,-8892.1,0.0,859.79,-0.27181
8.3134e-05,0.0,2.3158,0.0,0.0
8.3136e-05,0.0,2.3158,0.0,0.0
8.3138e-05,0.0,0.0,0.0,0.0
8.314000000000001e-05,0.0,2.3158,859.79,-0.27181
8.314200000000001e-05,0.0,2.3158,0.0,0.0
8.314400000000002e-05,0.0,0.0,0.0,0.0
8.314600000000002e-05,0.0,0.0,0.0,0.0
8.3148e-05,-8892.1,0.0,-859.79,-0.27181
8.315e-05,0.0,0.0,-859.79,0.0
8.3152e-05,0.0,0.0,0.0,0.0
8.315400000000001e-05,0.0,0.0,0.0,0.0
8.315600000000001e-05,0.0,0.0,0.0,0.0
8.315800000000002e-05,0.0,0.0,0.0,0.0
8.316e-05,0.0,0.0,-859.79,0.0
8.3162e-05,0.0,0.0,-859.79,0.0
8.3164e-05,0.0,0.0,0.0,0.0
8.316600000000001e-05,-8892.1,0.0,0.0,0.0
8.316800000000001e-05,0.0,0.0,-859.79,0.0
8.317000000000002e-05,0.0,0.0,859.79,0.0
8.3172e-05,0.0,2.3158,0.0,0.0
8.3174e-05,-8892.1,2.3158,0.0,-0.27181
8.3176e-05,0.0,0.0,0.0,0.0
8.317800000000001e-05,0.0,0.0,0.0,-0.27181
8.318000000000001e-05,0.0,0.0,0.0,-0.27181
8.318200000000002e-05,-8892.1,0.0,0.0,0.27181
8.3184e-05,-8892.1,2.3158,0.0,0.0
8.3186e-05,0.0,0.0,0.0,0.0
8.3188e-05,0.0,0.0,0.0,-0.27181
8.319000000000001e-05,0.0,0.0,0.0,0.0
8.319200000000001e-05,-8892.1,2.3158,0.0,0.0
8.319400000000002e-05,0.0,2.3158,0.0,0.0
8.3196e-05,0.0,0.0,0.0,-0.27181
8.3198e-05,0.0,0.0,-859.79,0.0
8.32e-05,0.0,-2.3158,0.0,0.0
8.320200000000001e-05,0.0,2.3158,0.0,0.0
8.320400000000001e-05,0.0,0.0,0.0,0.0
8.320600000000002e-05,0.0,0.0,0.0,0.0
8.3208e-05,-8892.1,2.3158,0.0,-0.27181
8.321e-05,0.0,0.0,0.0,0.0
8.3212e-05,-8892.1,0.0,0.0,-0.27181
8.3214e-05,0.0,0.0,0.0,0.0
8.321600000000001e-05,-8892.1,0.0,0.0,0.0
8.321800000000002e-05,0.0,0.0,-859.79,0.0
8.322000000000002e-05,-8892.1,0.0,0.0,0.0
8.3222e-05,-8892.1,0.0,0.0,0.0
8.3224e-05,0.0,0.0,0.0,0.27181
8.3226e-05,0.0,0.0,0.0,0.27181
8.322800000000001e-05,0.0,0.0,0.0,0.0
8.323000000000001e-05,0.0,0.0,0.0,0.0
8.323200000000002e-05,0.0,2.3158,0.0,-0.27181
8.3234e-05,0.0,0.0,0.0,0.0
8.3236e-05,0.0,2.3158,0.0,0.0
8.3238e-05,-8892.1,0.0,0.0,0.0
8.324000000000001e-05,0.0,0.0,0.0,0.0
8.324200000000001e-05,0.0,0.0,0.0,0.0
8.324400000000002e-05,-8892.1,-2.3158,859.79,-0.27181
8.3246e-05,0.0,0.0,-859.79,0.0
8.3248e-05,-8892.1,0.0,859.79,-0.27181
8.325e-05,0.0,0.0,0.0,-0.27181
8.325200000000001e-05,-8892.1,0.0,-859.79,-0.27181
8.325400000000001e-05,0.0,0.0,-859.79,-0.27181
8.325600000000002e-05,0.0,0.0,-859.79,-0.27181
8.3258e-05,-8892.1,0.0,0.0,0.0
8.326e-05,-8892.1,0.0,-859.79,0.0
8.3262e-05,0.0,0.0,-859.79,0.27181
8.326400000000001e-05,0.0,0.0,0.0,0.0
8.326600000000001e-05,8892.1,-2.3158,0.0,0.0
8.326800000000002e-05,0.0,0.0,0.0,0.0
8.327e-05,8892.1,0.0,0.0,0.0
8.3272e-05,0.0,0.0,-859.79,0.0
8.3274e-05,-8892.1,0.0,0.0,-0.27181
8.327600000000001e-05,0.0,2.3158,0.0,0.0
8.327800000000001e-05,-8892.1,2.3158,859.79,0.0
8.328000000000002e-05,0.0,2.3158,0.0,-0.27181
8.328199999999999e-05,0.0,0.0,-859.79,-0.27181
8.3284e-05,0.0,2.3158,-859.79,-0.27181
8.3286e-05,-8892.1,0.0,0.0,0.0
8.3288e-05,-8892.1,2.3158,0.0,0.0
8.329000000000001e-05,0.0,0.0,0.0,0.0
8.329200000000002e-05,0.0,0.0,0.0,-0.27181
8.329400000000002e-05,-8892.1,0.0,0.0,0.0
8.3296e-05,-8892.1,0.0,-859.79,-0.27181
8.3298e-05,0.0,0.0,0.0,0.0
8.33e-05,0.0,2.3158,0.0,0.0
8.330200000000001e-05,-8892.1,0.0,0.0,0.0
8.330400000000001e-05,0.0,0.0,859.79,0.0
8.330600000000002e-05,-8892.1,0.0,-859.79,-0.27181
8.3308e-05,-8892.1,0.0,0.0,0.0
8.331e-05,-8892.1,0.0,0.0,0.0
8.3312e-05,0.0,-2.3158,0.0,0.27181
8.331400000000001e-05,0.0,-2.3158,0.0,0.0
8.331600000000001e-05,-8892.1,0.0,0.0,0.0
8.331800000000002e-05,0.0,0.0,-859.79,0.0
8.332e-05,-8892.1,0.0,-859.79,0.27181
8.3322e-05,0.0,0.0,0.0,0.0
8.3324e-05,0.0,0.0,0.0,0.0
8.332600000000001e-05,0.0,0.0,0.0,0.0
8.332800000000001e-05,0.0,2.3158,0.0,-0.27181
8.333000000000002e-05,0.0,-2.3158,0.0,-0.27181
8.3332e-05,0.0,0.0,859.79,-0.27181
8.3334e-05,0.0,0.0,0.0,0.0
8.3336e-05,-8892.1,2.3158,-859.79,0.0
8.333800000000001e-05,0.0,0.0,0.0,0.0
8.334000000000001e-05,0.0,0.0,-859.79,-0.27181
8.334200000000002e-05,0.0,0.0,0.0,0.27181
8.3344e-05,0.0,0.0,0.0,0.0
8.3346e-05,0.0,0.0,-859.79,-0.27181
8.3348e-05,0.0,0.0,0.0,0.0
8.335e-05,-8892.1,2.3158,0.0,-0.27181
8.335200000000001e-05,0.0,0.0,859.79,0.0
8.335400000000002e-05,0.0,0.0,0.0,0.0
8.335600000000002e-05,0.0,2.3158,0.0,0.27181
8.3358e-05,0.0,0.0,-859.79,0.0
8.336e-05,0.0,0.0,0.0,0.0
8.3362e-05,0.0,0.0,0.0,0.0
8.336400000000001e-05,0.0,2.3158,-859.79,0.0
8.336600000000001e-05,-8892.1,0.0,0.0,-0.27181
8.336800000000002e-05,-8892.1,0.0,859.79,0.0
8.337e-05,0.0,2.3158,0.0,0.0
8.3372e-05,0.0,-2.3158,0.0,0.0
8.3374e-05,0.0,0.0,0.0,0.0
8.337600000000001e-05,-8892.1,0.0,859.79,0.0
8.337800000000001e-05,-8892.1,0.0,0.0,-0.27181
8.338000000000002e-05,0.0,0.0,-859.79,-0.27181
8.3382e-05,0.0,0.0,0.0,0.0
8.3384e-05,0.0,0.0,859.79,0.0
8.3386e-05,0.0,0.0,0.0,0.0
8.338800000000001e-05,-8892.1,-2.3158,-859.79,-0.27181
8.339000000000001e-05,0.0,0.0,0.0,0.0
8.339200000000002e-05,0.0,0.0,0.0,0.0
8.3394e-05,0.0,0.0,-859.79,-0.27181
8.3396e-05,0.0,0.0,859.79,0.0
8.3398e-05,0.0,0.0,0.0,0.0
8.340000000000001e-05,8892.1,0.0,0.0,-0.27181
8.340200000000001e-05,0.0,2.3158,0.0,0.0
8.340400000000002e-05,0.0,2.3158,859.79,0.0
8.3406e-05,0.0,0.0,0.0,0.0
8.3408e-05,0.0,2.3158,0.0,-0.27181
8.341e-05,0.0,2.3158,0.0,0.0
8.341200000000001e-05,0.0,0.0,0.0,-0.54362
8.341400000000001e-05,0.0,0.0,0.0,0.0
8.341600000000002e-05,0.0,0.0,0.0,0.27181
8.341799999999999e-05,0.0,0.0,0.0,-0.27181
8.342e-05,0.0,0.0,859.79,0.0
8.3422e-05,0.0,0.0,0.0,-0.27181
8.3424e-05,-8892.1,-2.3158,-859.79,-0.27181
8.342600000000001e-05,0.0,0.0,-859.79,0.0
8.342800000000002e-05,-8892.1,0.0,-859.79,0.27181
8.343000000000002e-05,-8892.1,0.0,-859.79,0.0
8.3432e-05,0.0,0.0,859.79,0.0
8.3434e-05,8892.1,0.0,0.0,-0.27181
8.3436e-05,0.0,2.3158,0.0,0.0
8.343800000000001e-05,0.0,2.3158,0.0,0.0
8.344000000000001e-05,-8892.1,0.0,859.79,0.0
8.344200000000002e-05,0.0,0.0,0.0,0.0
8.3444e-05,0.0,0.0,0.0,0.0
8.3446e-05,0.0,0.0,0.0,0.0
8.3448e-05,0.0,0.0,0.0,-0.27181
8.345000000000001e-05,0.0,0.0,0.0,0.0
8.345200000000001e-05,0.0,0.0,0.0,0.27181
8.345400000000002e-05,0.0,0.0,0.0,-0.27181
8.3456e-05,0.0,0.0,0.0,0.0
8.3458e-05,0.0,0.0,0.0,0.0
8.346e-05,0.0,0.0,0.0,0.0
8.346200000000001e-05,-8892.1,0.0,0.0,-0.27181
8.346400000000001e-05,0.0,0.0,0.0,0.0
8.346600000000002e-05,0.0,0.0,0.0,-0.27181
8.3468e-05,0.0,0.0,0.0,-0.27181
8.347e-05,0.0,0.0,0.0,0.0
8.3472e-05,0.0,-2.3158,0.0,0.0
8.347400000000001e-05,0.0,0.0,0.0,0.0
8.347600000000001e-05,0.0,0.0,0.0,0.0
8.347800000000002e-05,0.0,0.0,0.0,-0.27181
8.348e-05,0.0,2.3158,0.0,-0.27181
8.3482e-05,0.0,0.0,-859.79,0.0
8.3484e-05,-8892.1,0.0,0.0,0.0
8.3486e-05,-8892.1,-2.3158,-859.79,-0.27181
8.348800000000001e-05,0.0,0.0,0.0,0.0
8.349000000000002e-05,0.0,0.0,0.0,0.0
8.349200000000002e-05,-8892.1,0.0,0.0,0.0
8.3494e-05,-8892.1,0.0,-859.79,-0.54362
8.3496e-05,0.0,0.0,0.0,0.0
8.3498e-05,0.0,0.0,0.0,0.0
8.350000000000001e-05,0.0,0.0,-859.79,0.27181
8.350200000000001e-05,0.0,0.0,0.0,0.0
8.350400000000002e-05,0.0,0.0,0.0,-0.27181
8.3506e-05,0.0,0.0,0.0,0.0
8.3508e-05,-8892.1,0.0,-859.79,0.0
8.351e-05,0.0,2.3158,0.0,-0.27181
8.351200000000001e-05,0.0,0.0,0.0,0.0
8.351400000000001e-05,0.0,2.3158,0.0,0.0
8.351600000000002e-05,-8892.1,0.0,0.0,0.0
8.3518e-05,-8892.1,-2.3158,-859.79,0.0
8.352e-05,0.0,0.0,0.0,0.0
8.3522e-05,0.0,0.0,0.0,0.0
8.352400000000001e-05,8892.1,2.3158,0.0,0.0
8.352600000000001e-05,0.0,-2.3158,0.0,0.0
8.352800000000002e-05,8892.1,2.3158,0.0,0.0
8.353e-05,0.0,0.0,0.0,0.0
8.3532e-05,0.0,0.0,0.0,0.0
8.3534e-05,0.0,2.3158,0.0,-0.27181
8.353600000000001e-05,0.0,0.0,0.0,-0.27181
8.353800000000001e-05,0.0,0.0,0.0,0.27181
8.354000000000002e-05,0.0,0.0,0.0,0.0
8.3542e-05,0.0,0.0,0.0,0.0
8.3544e-05,0.0,2.3158,-859.79,0.0
8.3546e-05,0.0,2.3158,-859.79,0.0
8.354800000000001e-05,0.0,0.0,0.0,-0.27181
8.355000000000001e-05,0.0,0.0,859.79,-0.27181
8.355200000000002e-05,0.0,0.0,0.0,0.27181
8.355399999999999e-05,0.0,0.0,0.0,0.0
8.3556e-05,0.0,0.0,0.0,0.0
8.3558e-05,0.0,0.0,0.0,0.0
8.356e-05,0.0,0.0,0.0,0.27181
8.356200000000001e-05,-8892.1,0.0,0.0,-0.27181
8.356400000000002e-05,0.0,0.0,0.0,0.27181
8.356600000000002e-05,-8892.1,2.3158,0.0,0.0
8.3568e-05,0.0,-2.3158,0.0,0.0
8.357e-05,0.0,2.3158,0.0,0.0
8.3572e-05,0.0,0.0,0.0,0.0
8.357400000000001e-05,-8892.1,0.0,0.0,0.0
8.357600000000001e-05,0.0,2.3158,0.0,0.0
8.357800000000002e-05,-8892.1,0.0,0.0,-0.27181
8.358e-05,0.0,0.0,0.0,-0.27181
8.3582e-05,0.0,0.0,0.0,0.0
8.3584e-05,0.0,0.0,0.0,0.0
8.358600000000001e-05,0.0,0.0,0.0,0.0
8.358800000000001e-05,0.0,0.0,0.0,0.0
8.359000000000002e-05,0.0,-2.3158,0.0,0.0
8.3592e-05,0.0,0.0,0.0,0.0
8.3594e-05,0.0,0.0,-859.79,0.0
8.3596e-05,0.0,0.0,0.0,0.0
8.359800000000001e-05,0.0,0.0,0.0,-0.27181
8.360000000000001e-05,0.0,0.0,0.0,0.0
8.360200000000002e-05,0.0,0.0,0.0,0.0
8.3604e-05,0.0,0.0,0.0,0.0
8.3606e-05,0.0,0.0,0.0,0.0
8.3608e-05,0.0,0.0,0.0,-0.27181
8.361000000000001e-05,0.0,0.0,0.0,0.27181
8.361200000000001e-05,0.0,0.0,-859.79,0.0
8.361400000000002e-05,0.0,0.0,0.0,0.0
8.3616e-05,0.0,2.3158,0.0,0.0
8.3618e-05,0.0,2.3158,0.0,0.0
8.362e-05,-8892.1,0.0,0.0,0.0
8.3622e-05,8892.1,0.0,0.0,0.0
8.362400000000001e-05,0.0,0.0,0.0,0.27181
8.362600000000002e-05,0.0,2.3158,859.79,0.0
8.362800000000002e-05,0.0,0.0,0.0,0.0
8.363e-05,-8892.1,0.0,0.0,-0.27181
8.3632e-05,0.0,0.0,0.0,0.0
8.3634e-05,-8892.1,0.0,0.0,0.0
8.363600000000001e-05,0.0,2.3158,0.0,-0.27181
8.363800000000001e-05,0.0,0.0,0.0,0.0
8.364000000000002e-05,0.0,0.0,0.0,0.0
8.3642e-05,-8892.1,2.3158,-859.79,0.0
8.3644e-05,0.0,0.0,-859.79,-0.27181
8.3646e-05,0.0,0.0,0.0,0.0
8.364800000000001e-05,0.0,0.0,0.0,0.0
8.365000000000001e-05,-8892.1,0.0,0.0,-0.27181
8.365200000000002e-05,0.0,0.0,-859.79,0.0
8.3654e-05,0.0,2.3158,0.0,-0.27181
8.3656e-05,0.0,0.0,0.0,0.0
8.3658e-05,-8892.1,0.0,0.0,0.0
8.366000000000001e-05,-8892.1,0.0,0.0,-0.54362
8.366200000000001e-05,0.0,0.0,0.0,0.0
8.366400000000002e-05,0.0,2.3158,0.0,0.0
8.3666e-05,0.0,0.0,0.0,-0.27181
8.3668e-05,0.0,2.3158,859.79,0.0
8.367e-05,0.0,0.0,0.0,0.0
8.367200000000001e-05,0.0,2.3158,0.0,0.0
8.367400000000001e-05,-8892.1,2.3158,-859.79,-0.27181
8.367600000000002e-05,0.0,2.3158,0.0,0.0
8.3678e-05,0.0,0.0,0.0,0.0
8.368e-05,-8892.1,0.0,859.79,0.0
8.3682e-05,0.0,0.0,0.0,0.0
8.368400000000001e-05,0.0,0.0,0.0,0.0
8.368600000000001e-05,0.0,0.0,0.0,-0.27181
8.368800000000002e-05,-8892.1,2.3158,0.0,0.0
8.369e-05,0.0,2.3158,0.0,0.0
8.3692e-05,0.0,2.3158,0.0,0.0
8.3694e-05,0.0,0.0,0.0,-0.27181
8.3696e-05,-8892.1,0.0,0.0,0.0
8.369800000000001e-05,0.0,2.3158,0.0,0.0
8.370000000000002e-05,0.0,0.0,-859.79,-0.27181
8.370200000000002e-05,0.0,0.0,0.0,0.0
8.3704e-05,0.0,2.3158,0.0,0.0
8.3706e-05,-8892.1,0.0,-859.79,0.0
8.3708e-05,0.0,2.3158,0.0,0.0
8.371000000000001e-05,0.0,0.0,0.0,-0.27181
8.371200000000001e-05,-8892.1,0.0,0.0,0.0
8.371400000000002e-05,0.0,0.0,0.0,0.27181
8.3716e-05,0.0,0.0,0.0,0.0
8.3718e-05,0.0,0.0,0.0,0.0
8.372e-05,-8892.1,0.0,0.0,-0.27181
8.372200000000001e-05,0.0,0.0,0.0,0.0
8.372400000000001e-05,0.0,0.0,0.0,0.0
8.372600000000002e-05,0.0,0.0,0.0,-0.27181
8.3728e-05,-8892.1,2.3158,0.0,0.0
8.373e-05,0.0,0.0,0.0,0.0
8.3732e-05,0.0,-2.3158,0.0,0.0
8.373400000000001e-05,0.0,0.0,0.0,0.0
8.373600000000001e-05,0.0,2.3158,-859.79,0.0
8.373800000000002e-05,0.0,0.0,0.0,0.0
8.374e-05,0.0,0.0,-859.79,-0.27181
8.3742e-05,0.0,0.0,0.0,0.27181
8.3744e-05,0.0,0.0,0.0,0.0
8.374600000000001e-05,0.0,2.3158,0.0,-0.27181
8.374800000000001e-05,-8892.1,0.0,0.0,-0.27181
8.375000000000002e-05,8892.1,0.0,0.0,0.0
8.3752e-05,0.0,0.0,0.0,0.0
8.3754e-05,-8892.1,0.0,-859.79,0.0
8.3756e-05,0.0,2.3158,0.0,0.0
8.375800000000001e-05,0.0,0.0,0.0,0.0
8.376000000000001e-05,-8892.1,-2.3158,-859.79,0.0
8.376200000000002e-05,-17784.2,0.0,0.0,0.0
8.376400000000002e-05,0.0,0.0,0.0,0.0
8.3766e-05,-8892.1,2.3158,0.0,0.0
8.3768e-05,0.0,0.0,0.0,0.0
8.377e-05,-8892.1,0.0,0.0,-0.27181
8.377200000000001e-05,0.0,0.0,0.0,0.27181
8.377400000000001e-05,-8892.1,0.0,-859.79,-0.27181
8.377600000000002e-05,0.0,2.3158,0.0,0.0
8.3778e-05,-8892.1,2.3158,0.0,0.0
8.378e-05,0.0,0.0,0.0,0.27181
8.3782e-05,0.0,2.3158,0.0,0.0
8.378400000000001e-05,0.0,0.0,0.0,-0.27181
8.378600000000001e-05,0.0,0.0,-859.79,-0.27181
8.378800000000002e-05,0.0,-2.3158,859.79,0.0
8.379e-05,0.0,0.0,0.0,-0.27181
8.3792e-05,0.0,0.0,0.0,-0.27181
8.3794e-05,0.0,0.0,0.0,0.0
8.379600000000001e-05,-8892.1,0.0,-859.79,0.0
8.379800000000001e-05,0.0,2.3158,-859.79,0.0
8.380000000000002e-05,0.0,0.0,-859.79,0.0
8.3802e-05,0.0,0.0,0.0,0.0
8.3804e-05,-8892.1,0.0,0.0,0.27181
8.3806e-05,0.0,0.0,859.79,0.0
8.380800000000001e-05,0.0,-2.3158,-859.79,0.0
8.381000000000001e-05,0.0,-2.3158,0.0,0.0
8.381200000000002e-05,0.0,0.0,0.0,0.0
8.3814e-05,8892.1,0.0,0.0,0.0
8.3816e-05,0.0,0.0,0.0,0.0
8.3818e-05,0.0,0.0,0.0,0.0
8.382000000000001e-05,0.0,0.0,0.0,0.0
8.382200000000001e-05,0.0,0.0,0.0,-0.27181
8.382400000000002e-05,0.0,-2.3158,0.0,0.0
8.3826e-05,0.0,0.0,0.0,-0.27181
8.3828e-05,-8892.1,0.0,0.0,0.0
8.383e-05,-8892.1,2.3158,-859.79,0.0
8.3832e-05,0.0,0.0,0.0,0.0
