time_s,ch1_v,ch2_v
2.7631999999999996e-05,9.1772,-0.23158
2.780799999999999e-05,8.71834,-0.23158
2.7983999999999995e-05,9.1772,0.46316
2.8159999999999988e-05,9.1772,0.46316
2.8335999999999994e-05,8.48891,-0.23158
2.8512e-05,8.71834,-0.23158
2.8687999999999994e-05,9.1772,0.23158
2.8864e-05,9.1772,-0.23158
2.9039999999999993e-05,8.48891,0.46316
2.9216e-05,9.1772,-0.23158
2.9391999999999992e-05,8.48891,0.46316
2.9568e-05,9.1772,-0.23158
2.974399999999999e-05,8.48891,0.46316
2.9919999999999998e-05,9.1772,-0.23158
3.009599999999999e-05,8.48891,0.46316
3.0271999999999997e-05,8.48891,-0.23158
3.044799999999999e-05,9.40663,0.46316
3.0624e-05,9.1772,-0.23158
3.079999999999999e-05,8.71834,0.46316
3.0975999999999996e-05,8.71834,-0.23158
3.115199999999999e-05,9.1772,0.46316
3.1327999999999995e-05,9.1772,-0.23158
3.150399999999999e-05,8.71834,0.46316
3.1679999999999995e-05,9.1772,0.46316
3.185599999999999e-05,8.71834,-0.23158
3.2031999999999994e-05,8.71834,-0.23158
3.2208e-05,9.40663,0.46316
3.2383999999999994e-05,8.71834,-0.23158
3.256e-05,9.40663,0.46316
3.273599999999999e-05,9.1772,0.46316
3.2912e-05,8.71834,-0.23158
3.308799999999999e-05,9.1772,-0.23158
3.3264e-05,8.71834,0.46316
3.343999999999999e-05,8.71834,0.46316
3.3616e-05,9.1772,-0.23158
3.379199999999999e-05,8.71834,-0.23158
3.3968e-05,9.1772,0.46316
3.4144000000000004e-05,9.1772,-0.23158
3.431999999999998e-05,8.48891,0.46316
3.449599999999999e-05,9.40663,-0.23158
3.4671999999999996e-05,8.48891,0.46316
3.4848e-05,9.1772,-0.23158
3.502399999999998e-05,8.71834,0.46316
3.519999999999999e-05,8.71834,0.46316
3.5375999999999995e-05,9.40663,-0.23158
3.5552e-05,8.71834,-0.23158
3.572799999999998e-05,9.1772,0.46316
3.590399999999999e-05,8.71834,-0.23158
3.607999999999999e-05,9.1772,0.46316
3.6256e-05,8.71834,-0.23158
3.6432000000000006e-05,9.40663,0.46316
3.6607999999999986e-05,8.71834,-0.23158
3.678399999999999e-05,9.1772,0.46316
3.696e-05,9.1772,-0.23158
3.7136000000000005e-05,8.71834,0.46316
3.7311999999999984e-05,9.1772,-0.23158
3.748799999999999e-05,8.71834,0.46316
3.7664e-05,8.71834,-0.23158
3.7840000000000004e-05,9.1772,0.46316
3.801599999999998e-05,9.1772,0.23158
3.819199999999999e-05,8.48891,-0.23158
3.8367999999999996e-05,9.1772,0.23158
3.8544e-05,8.71834,-0.23158
3.871999999999998e-05,8.71834,0.23158
3.889599999999999e-05,9.40663,-0.23158
3.9071999999999995e-05,9.1772,-0.23158
3.9248e-05,8.48891,0.46316
3.942399999999998e-05,9.1772,-0.23158
3.959999999999999e-05,8.71834,0.23158
3.977599999999999e-05,8.71834,-0.23158
3.9952e-05,9.1772,0.46316
4.0128000000000006e-05,8.71834,0.23158
4.0303999999999985e-05,9.40663,-0.23158
4.047999999999999e-05,8.71834,-0.23158
4.0656e-05,9.1772,0.46316
4.0832000000000005e-05,8.71834,-0.23158
4.1007999999999984e-05,9.40663,0.46316
4.118399999999999e-05,8.71834,-0.23158
4.136e-05,9.1772,0.46316
4.1536000000000003e-05,9.1772,-0.23158
4.171199999999998e-05,8.71834,0.46316
4.188799999999999e-05,8.71834,-0.23158
4.2063999999999996e-05,9.1772,0.46316
4.224e-05,9.1772,-0.23158
4.241599999999998e-05,8.48891,0.46316
4.259199999999999e-05,8.71834,0.46316
4.2767999999999994e-05,9.1772,-0.23158
4.2944e-05,9.1772,-0.23158
4.311999999999998e-05,-6.42404,0.46316
4.329599999999999e-05,0.45886,-0.23158
4.347199999999999e-05,-0.22943,0.46316
4.3648e-05,-0.22943,0.46316
4.3824000000000006e-05,0.45886,-0.23158
4.3999999999999985e-05,0.45886,0.46316
4.417599999999999e-05,-0.22943,-0.23158
4.4352e-05,0.22943,-0.23158
4.4528000000000005e-05,-0.45886,0.46316
4.4703999999999984e-05,-0.22943,0.23158
4.487999999999999e-05,0.22943,-0.23158
4.5056e-05,-0.22943,-0.23158
4.5232e-05,0.22943,0.46316
4.540799999999998e-05,-0.22943,0.23158
4.558399999999999e-05,0.22943,-0.23158
4.5759999999999996e-05,0.22943,-0.23158
4.5936e-05,-0.22943,0.46316
4.611199999999998e-05,0.22943,-0.23158
4.628799999999999e-05,-0.45886,0.46316
4.6463999999999994e-05,-0.22943,-0.23158
4.664e-05,0.22943,0.46316
4.681599999999998e-05,0.22943,-0.23158
4.6991999999999986e-05,-0.45886,0.46316
4.716799999999999e-05,-0.22943,-0.23158
4.7344e-05,0.22943,0.46316
4.7520000000000006e-05,0.22943,-0.23158
4.7695999999999985e-05,-0.45886,0.46316
4.787199999999999e-05,0.22943,-0.23158
4.8048e-05,-0.45886,0.46316
4.8224000000000004e-05,0.22943,-0.23158
4.8399999999999984e-05,-0.45886,0.46316
4.857599999999999e-05,0.22943,-0.23158
4.8752e-05,-0.45886,0.46316
